Product Level 4,Brand Level 4,Brand Level 2,Product Name,average,growth,returnPercent,returnUnits,tAct,thAct,fAct,sAct,mAct,tSug,thSug,fSug,sSug,mSug,totalAct,totalSug
BUNS-ROLLS,BALL PARK,BALL PARK BUNS,"BP 6""TAIL BRAT 6P16Z",3,100.00,100.00,3,0,0,0,6,0,0,0,0,0,0,6,0
BUNS-ROLLS,BALL PARK,BALL PARK BUNS,BP WHITE HAM RL8P14Z,24,118.18,0.00,0,8,0,8,8,0,8,0,0,0,0,24,8
BUNS-ROLLS,BALL PARK,BALL PARK BUNS,BP WHITE HD 8P 13Z,45,2.27,0.00,0,18,9,0,18,9,9,9,0,18,9,54,45
BUNS-ROLLS,MRS BAIRDS BREAD,,,313,-29.66,5.43,17,71,50,41,112,50,71,50,33,104,50,324,308
BUNS-ROLLS,MRS BAIRDS BREAD,MB HAM AND HOT BUNS,,313,-29.02,5.43,17,71,50,41,112,50,71,50,33,104,50,324,308
BUNS-ROLLS,MRS BAIRDS BREAD,MB HAM AND HOT BUNS,"MB 4.5"" HAM 8P18.25Z",93,12.05,3.23,3,18,12,12,30,12,18,12,12,30,12,84,84
BUNS-ROLLS,MRS BAIRDS BREAD,MB HAM AND HOT BUNS,"MB 4.5""SS BUN8P18.25",100,0.00,2.00,2,18,12,12,30,12,18,12,12,30,12,84,84
BUNS-ROLLS,MRS BAIRDS BREAD,MB HAM AND HOT BUNS,MB 4IN HAM 8P12Z,22,-60.71,9.09,2,8,8,8,16,8,8,8,0,8,8,48,32
BUNS-ROLLS,MRS BAIRDS BREAD,MB HAM AND HOT BUNS,MB CONEYS 8P11.75Z,98,-51.49,10.20,10,27,18,9,36,18,27,18,9,36,18,108,108
BUNS-ROLLS,MRS BAIRDS BREAD,MB ROLLS,,0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
BUNS-ROLLS,MRS BAIRDS BREAD,MB ROLLS,MB CLASIC DNRL 12P17,0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
BUNS-ROLLS,PRIVATE LABEL BRANDS,,,"2,169",7.80,1.43,31,480,324,298,855,341,474,292,298,707,341,2298,2112
BUNS-ROLLS,PRIVATE LABEL BRANDS,PL GREAT VALUE(WM),,"1,843",9.70,1.52,28,402,263,246,733,297,396,257,246,611,297,1941,1807
BUNS-ROLLS,PRIVATE LABEL BRANDS,PL GREAT VALUE(WM),GV BRWN&SRV RL12P12Z,40,-14.89,0.00,0,0,10,0,15,15,0,10,0,15,15,40,40
BUNS-ROLLS,PRIVATE LABEL BRANDS,PL GREAT VALUE(WM),GV HAM RL 16P 22Z,12,100.00,33.33,4,8,0,0,8,8,8,0,0,0,8,24,16
BUNS-ROLLS,PRIVATE LABEL BRANDS,PL GREAT VALUE(WM),GV HAMBURG 8P11Z,351,-37.10,2.56,9,112,64,72,160,72,112,64,72,160,72,480,480
BUNS-ROLLS,PRIVATE LABEL BRANDS,PL GREAT VALUE(WM),GV HOT DOG 8P11Z,"1,101",36.77,1.36,15,234,144,144,450,153,234,144,144,351,153,1125,1026
BUNS-ROLLS,PRIVATE LABEL BRANDS,PL GREAT VALUE(WM),GV HOT RL 16P 22Z,30,200.00,0.00,0,0,0,0,10,10,0,0,0,10,10,20,20
BUNS-ROLLS,PRIVATE LABEL BRANDS,PL GREAT VALUE(WM),GV JUMBO HAM BUN 8P,270,21.62,0.00,0,48,30,30,60,24,42,24,30,60,24,192,180
BUNS-ROLLS,PRIVATE LABEL BRANDS,PL GREAT VALUE(WM),GV WW HAM 8P14Z,12,-36.84,0.00,0,0,6,0,12,6,0,6,0,6,6,24,18
BUNS-ROLLS,PRIVATE LABEL BRANDS,PL GREAT VALUE(WM),GV WW HOT 8P14Z,27,107.69,0.00,0,0,9,0,18,9,0,9,0,9,9,36,27
BUNS-ROLLS,PRIVATE LABEL BRANDS,PL WALMT VALU(HMBK),,326,-1.81,0.92,3,78,61,52,122,44,78,35,52,96,44,357,305
BUNS-ROLLS,PRIVATE LABEL BRANDS,PL WALMT VALU(HMBK),WM VALUE HAMBURG8P11,101,9.78,2.97,3,24,16,16,32,8,24,8,16,24,8,96,80
BUNS-ROLLS,PRIVATE LABEL BRANDS,PL WALMT VALU(HMBK),WM VALUE HOTDOG 8P11,225,-6.25,0.00,0,54,45,36,90,36,54,27,36,72,36,261,225
BUNS-ROLLS,SARA LEE,,,72,-20.88,5.56,4,4,35,0,12,18,4,23,3,11,18,69,59
BUNS-ROLLS,SARA LEE,SL CLASSIC DINNR RLS,,43,19.44,4.65,2,0,25,0,0,10,0,15,0,0,10,35,25
BUNS-ROLLS,SARA LEE,SL CLASSIC DINNR RLS,SL HAWAIIAN RL12P15Z,28,3.70,7.14,2,0,15,0,0,5,0,15,0,0,5,20,20
BUNS-ROLLS,SARA LEE,SL CLASSIC DINNR RLS,SL WHI DNRL 12P 17Z,15,66.67,0.00,0,0,10,0,0,5,0,0,0,0,5,15,5
BUNS-ROLLS,SARA LEE,SL H&D ROLLS,,14,-12.50,0.00,0,4,4,0,6,2,4,2,3,5,2,16,16
BUNS-ROLLS,SARA LEE,SL H&D ROLLS,SL H&D STK RL 6P15Z,14,-12.50,0.00,0,4,4,0,6,2,4,2,3,5,2,16,16
BUNS-ROLLS,SARA LEE,SL OTHER BUNS & RLS,,15,-25.00,13.33,2,0,6,0,6,6,0,6,0,6,6,18,18
BUNS-ROLLS,SARA LEE,SL OTHER BUNS & RLS,SL HAWAIN SDRL 8P18Z,15,-25.00,13.33,2,0,6,0,6,6,0,6,0,6,6,18,18
BUNS-ROLLS,SARA LEE,SL SOFT & SMOOTH RLS,,0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
BUNS-ROLLS,SARA LEE,SL SOFT & SMOOTH RLS,SL HHWHE HOT 8P 12Z,0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
BUNS-ROLLS,SARA LEE,SL SOFT & SMOOTH RLS,"SL WGW 6""CONEY 8P13Z",0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
DRY,,,,112,103.64,0.00,0,0,0,0,0,56,0,0,0,0,56,56,56
DRY,BIMBO BREAD,,,112,103.64,0.00,0,0,0,0,0,56,0,0,0,0,56,56,56
DRY,BIMBO BREAD,BIMBO TOASTED BRD,,112,103.64,0.00,0,0,0,0,0,56,0,0,0,0,56,56,56
DRY,BIMBO BREAD,BIMBO TOASTED BRD,BIM DBFIBTST BX,56,"5,700.00",0.00,0,0,0,0,0,28,0,0,0,0,28,28,28
DRY,BIMBO BREAD,BIMBO TOASTED BRD,PAN TOSTADO BX,56,0.00,0.00,0,0,0,0,0,28,0,0,0,0,28,28,28
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
MUFFINS,,,,105,-29.05,27.62,29,4,47,2,74,27,38,23,27,53,27,154,168
