Product Level 4,Brand Level 4,Brand Level 2,Product Name,average,growth,returnPercent,returnUnits,tAct,thAct,fAct,sAct,mAct,tSug,thSug,fSug,sSug,mSug,totalAct,totalSug,,,,,,,,,,,
BAGELS,,,,187,-10.42,19.92,37,0,72,0,103,38,45,34,32,64,38,213,213,,,,,,,,,,,
BAGELS,SARA LEE,,,77,-23.25,7.17,6,0,28,0,36,10,16,11,12,25,10,74,74,,,,,,,,,,,
BAGELS,SARA LEE,SL FULL SIZ BAGELS,,77,-23.25,7.17,6,0,28,0,36,10,16,11,12,25,10,74,74,,,,,,,,,,,
BAGELS,SARA LEE,SL FULL SIZ BAGELS,SL BLUEBRY BGL 6P20Z,24,-25.40,10.64,3,0,8,0,12,3,5,3,4,7,3,23,22,,,,,,,,,,,
BAGELS,SARA LEE,SL FULL SIZ BAGELS,SL CINNRSN BGL 6P20Z,30,-27.88,5.04,2,0,12,0,12,4,6,5,4,10,4,28,29,,,,,,,,,,,
BAGELS,SARA LEE,SL FULL SIZ BAGELS,SL PLAIN BGL 6P 20Z,24,-13.76,6.38,2,0,8,0,12,3,5,3,4,8,3,23,23,,,,,,,,,,,
BAGELS,THOMAS BRANDS,,,110,1.38,28.80,32,0,44,0,67,28,29,23,20,39,28,139,139,,,,,,,,,,,
BAGELS,THOMAS BRANDS,BAGELS 20OZ,,83,-1.78,31.63,26,0,32,0,54,19,26,15,16,34,19,105,110,,,,,,,,,,,
BAGELS,THOMAS BRANDS,BAGELS 20OZ,BGL APPLE PIE 6P19Z,3,100.00,0.00,0,0,2,0,0,2,0,2,0,0,2,4,4,,,,,,,,,,,
BAGELS,THOMAS BRANDS,BAGELS 20OZ,BLUEBRY BGL 6P20Z,12,19.51,73.47,9,0,6,0,12,2,4,2,3,5,2,20,16,,,,,,,,,,,
BAGELS,THOMAS BRANDS,BAGELS 20OZ,CIN RSN BGL 6P/20Z,19,11.94,18.67,4,0,6,0,8,3,6,3,4,8,3,17,24,,,,,,,,,,,
BAGELS,THOMAS BRANDS,BAGELS 20OZ,CIN SWL BGL 6P 20Z,15,-21.05,58.33,9,0,6,0,12,3,6,3,3,8,3,21,23,,,,,,,,,,,
BAGELS,THOMAS BRANDS,BAGELS 20OZ,EVRTHNG BGL 6P/20Z,9,-12.82,11.76,1,0,3,0,6,3,2,2,2,3,3,12,12,,,,,,,,,,,
BAGELS,THOMAS BRANDS,BAGELS 20OZ,LTD ED BGL MFTST6P19,0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
BAGELS,THOMAS BRANDS,BAGELS 20OZ,PLAIN BGL 6P20Z,20,-10.11,16.25,3,0,6,0,12,3,6,3,4,8,3,21,24,,,,,,,,,,,
BAGELS,THOMAS BRANDS,BAGELS 20OZ,WHL WHT BGL 6P20Z,6,50.00,12.50,1,0,3,0,4,3,2,0,0,2,3,10,7,,,,,,,,,,,
BAGELS,THOMAS BRANDS,MINI BAGELS,,15,-6.35,11.86,2,0,6,0,7,6,0,6,0,3,6,19,15,,,,,,,,,,,
BAGELS,THOMAS BRANDS,MINI BAGELS,BSC MINI BGL 10P 15Z,5,-21.74,11.11,1,0,2,0,2,2,0,2,0,0,2,6,4,,,,,,,,,,,
BAGELS,THOMAS BRANDS,MINI BAGELS,PLN MINI BGL 10P 15Z,7,-10.00,3.70,0,0,2,0,3,3,0,2,0,3,3,8,8,,,,,,,,,,,
BAGELS,THOMAS BRANDS,MINI BAGELS,WWHE MINI BGL 10P15Z,4,40.00,28.57,1,0,2,0,2,1,0,2,0,0,1,5,3,,,,,,,,,,,
BAGELS,THOMAS BRANDS,THOMAS BAGEL THINS,,13,47.06,30.00,4,0,6,0,6,3,3,2,4,2,3,15,14,,,,,,,,,,,
BAGELS,THOMAS BRANDS,THOMAS BAGEL THINS,BAGEL THIN EVRY 8P13,4,60.00,37.50,2,0,2,0,2,0,1,2,0,0,0,4,3,,,,,,,,,,,
BAGELS,THOMAS BRANDS,THOMAS BAGEL THINS,BAGEL THIN PLN 8P13Z,5,12.50,22.22,1,0,2,0,2,3,2,0,2,2,3,7,9,,,,,,,,,,,
BAGELS,THOMAS BRANDS,THOMAS BAGEL THINS,BAGEL THIN100%WW8P13,4,100.00,31.25,1,0,2,0,2,0,0,0,2,0,0,4,2,,,,,,,,,,,
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
BUNS-ROLLS,,,,"3,580",-1.57,2.48,89,591,425,347,1030,447,583,381,334,846,447,2840,2591,,,,,,,,,,,
BUNS-ROLLS,ARNOLD-BRWNBRY-OROWT,,,52,74.17,25.36,13,0,2,0,19,29,7,2,0,6,29,50,44,,,,,,,,,,,
BUNS-ROLLS,ARNOLD-BRWNBRY-OROWT,AR SELECT BUNS,,29,100.00,41.88,12,0,2,0,7,17,7,2,0,0,17,26,26,,,,,,,,,,,
BUNS-ROLLS,ARNOLD-BRWNBRY-OROWT,AR SELECT BUNS,OR POTATO HD 8P15Z,8,100.00,16.13,1,0,0,0,0,9,0,0,0,0,9,9,9,,,,,,,,,,,
BUNS-ROLLS,ARNOLD-BRWNBRY-OROWT,AR SELECT BUNS,OR POTATO SAND 8P15Z,6,100.00,39.13,2,0,0,0,0,8,0,0,0,0,8,8,8,,,,,,,,,,,
BUNS-ROLLS,ARNOLD-BRWNBRY-OROWT,AR SELECT BUNS,OR SL HOT DOG 8P/14Z,9,100.00,58.82,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
BUNS-ROLLS,ARNOLD-BRWNBRY-OROWT,AR SELECT BUNS,OR SL SAND SES 8P15Z,4,100.00,76.47,3,0,0,0,6,0,6,0,0,0,0,6,6,,,,,,,,,,,
BUNS-ROLLS,ARNOLD-BRWNBRY-OROWT,AR SELECT BUNS,OR SL SAND WHEAT8P16,3,100.00,16.67,1,0,2,0,1,0,1,2,0,0,0,3,3,,,,,,,,,,,
BUNS-ROLLS,ARNOLD-BRWNBRY-OROWT,AR-BB-ORO SPECLTYBUN,,6,-46.67,0.00,0,0,0,0,6,6,0,0,0,0,6,12,6,,,,,,,,,,,
BUNS-ROLLS,ARNOLD-BRWNBRY-OROWT,AR-BB-ORO SPECLTYBUN,OR SP STEAK RL 6P15Z,6,-46.67,0.00,0,0,0,0,6,6,0,0,0,0,6,12,6,,,,,,,,,,,
BUNS-ROLLS,ARNOLD-BRWNBRY-OROWT,ORO HAMBURGER,,17,-9.33,5.88,1,0,0,0,6,6,0,0,0,6,6,12,12,,,,,,,,,,,
BUNS-ROLLS,ARNOLD-BRWNBRY-OROWT,ORO HAMBURGER,"ORO 4.5""WW RLS 8P21Z",17,-9.33,5.88,1,0,0,0,6,6,0,0,0,6,6,12,12,,,,,,,,,,,
BUNS-ROLLS,BALL PARK,,,88,-19.86,7.69,7,36,14,8,32,9,27,14,0,18,9,99,68,,,,,,,,,,,
BUNS-ROLLS,BALL PARK,BALL PARK BUNS,,88,-19.86,7.69,7,36,14,8,32,9,27,14,0,18,9,99,68,,,,,,,,,,,
BUNS-ROLLS,BALL PARK,BALL PARK BUNS,"BP 3.75""SAND RL12P21",6,-67.95,20.00,1,5,0,0,0,0,5,0,0,0,0,5,5,,,,,,,,,,,
BUNS-ROLLS,BALL PARK,BALL PARK BUNS,"BP 6""HOTDOG 12P 20Z",8,-71.55,6.06,1,5,5,0,0,0,5,5,0,0,0,10,10,,,,,,,,,,,
BUNS-ROLLS,BALL PARK,BALL PARK BUNS,"BP 6""TAIL BRAT 6P16Z",4,100.00,41.18,2,0,0,0,6,0,0,0,0,0,0,6,0,,,,,,,,,,,
BUNS-ROLLS,BALL PARK,BALL PARK BUNS,BP WHITE HAM RL8P14Z,14,27.27,14.29,2,8,0,8,8,0,8,0,0,0,0,24,8,,,,,,,,,,,
BUNS-ROLLS,BALL PARK,BALL PARK BUNS,BP WHITE HD 8P 13Z,55,10.00,2.27,1,18,9,0,18,9,9,9,0,18,9,54,45,,,,,,,,,,,
BUNS-ROLLS,MRS BAIRDS BREAD,,,395,-12.03,5.57,22,71,50,41,112,50,71,50,33,104,50,324,308,,,,,,,,,,,
BUNS-ROLLS,MRS BAIRDS BREAD,MB HAM AND HOT BUNS,,395,-10.84,5.57,22,71,50,41,112,50,71,50,33,104,50,324,308,,,,,,,,,,,
BUNS-ROLLS,MRS BAIRDS BREAD,MB HAM AND HOT BUNS,"MB 4.5"" HAM 8P18.25Z",117,37.76,2.78,3,18,12,12,30,12,18,12,12,30,12,84,84,,,,,,,,,,,
BUNS-ROLLS,MRS BAIRDS BREAD,MB HAM AND HOT BUNS,"MB 4.5""SS BUN8P18.25",123,23.74,2.04,3,18,12,12,30,12,18,12,12,30,12,84,84,,,,,,,,,,,
BUNS-ROLLS,MRS BAIRDS BREAD,MB HAM AND HOT BUNS,MB 4IN HAM 8P12Z,37,-33.78,30.61,11,8,8,8,16,8,8,8,0,8,8,48,32,,,,,,,,,,,
BUNS-ROLLS,MRS BAIRDS BREAD,MB HAM AND HOT BUNS,MB CONEYS 8P11.75Z,119,-41.65,4.21,5,27,18,9,36,18,27,18,9,36,18,108,108,,,,,,,,,,,
BUNS-ROLLS,MRS BAIRDS BREAD,MB ROLLS,,0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
BUNS-ROLLS,MRS BAIRDS BREAD,MB ROLLS,MB CLASIC DNRL 12P17,0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
BUNS-ROLLS,PRIVATE LABEL BRANDS,,,"2,991",1.08,1.35,41,480,324,298,855,341,474,292,298,707,341,2298,2112,,,,,,,,,,,
BUNS-ROLLS,PRIVATE LABEL BRANDS,PL GREAT VALUE(WM),,"2,568",-0.78,1.35,35,402,263,246,733,297,396,257,246,611,297,1941,1807,,,,,,,,,,,
BUNS-ROLLS,PRIVATE LABEL BRANDS,PL GREAT VALUE(WM),GV BRWN&SRV RL12P12Z,44,-20.98,1.69,1,0,10,0,15,15,0,10,0,15,15,40,40,,,,,,,,,,,
BUNS-ROLLS,PRIVATE LABEL BRANDS,PL GREAT VALUE(WM),GV HAM RL 16P 22Z,19,-7.32,5.26,1,8,0,0,8,8,8,0,0,0,8,24,16,,,,,,,,,,,
BUNS-ROLLS,PRIVATE LABEL BRANDS,PL GREAT VALUE(WM),GV HAMBURG 8P11Z,646,-2.60,1.12,7,112,64,72,160,72,112,64,72,160,72,480,480,,,,,,,,,,,
BUNS-ROLLS,PRIVATE LABEL BRANDS,PL GREAT VALUE(WM),GV HOT DOG 8P11Z,"1,505",0.82,0.90,14,234,144,144,450,153,234,144,144,351,153,1125,1026,,,,,,,,,,,
BUNS-ROLLS,PRIVATE LABEL BRANDS,PL GREAT VALUE(WM),GV HOT RL 16P 22Z,22,-2.22,2.27,1,0,0,0,10,10,0,0,0,10,10,20,20,,,,,,,,,,,
BUNS-ROLLS,PRIVATE LABEL BRANDS,PL GREAT VALUE(WM),GV JUMBO HAM BUN 8P,292,9.46,0.43,1,48,30,30,60,24,42,24,30,60,24,192,180,,,,,,,,,,,
BUNS-ROLLS,PRIVATE LABEL BRANDS,PL GREAT VALUE(WM),GV WW HAM 8P14Z,18,-50.69,16.90,3,0,6,0,12,6,0,6,0,6,6,24,18,,,,,,,,,,,
BUNS-ROLLS,PRIVATE LABEL BRANDS,PL GREAT VALUE(WM),GV WW HOT 8P14Z,21,-28.57,35.29,8,0,9,0,18,9,0,9,0,9,9,36,27,,,,,,,,,,,
BUNS-ROLLS,PRIVATE LABEL BRANDS,PL WALMT VALU(HMBK),,423,14.09,1.36,6,78,61,52,122,44,78,35,52,96,44,357,305,,,,,,,,,,,
BUNS-ROLLS,PRIVATE LABEL BRANDS,PL WALMT VALU(HMBK),WM VALUE HAMBURG8P11,131,33.08,2.49,3,24,16,16,32,8,24,8,16,24,8,96,80,,,,,,,,,,,
BUNS-ROLLS,PRIVATE LABEL BRANDS,PL WALMT VALU(HMBK),WM VALUE HOTDOG 8P11,292,7.25,0.86,3,54,45,36,90,36,54,27,36,72,36,261,225,,,,,,,,,,,
BUNS-ROLLS,SARA LEE,,,55,-39.23,11.36,6,4,35,0,12,18,4,23,3,11,18,69,59,,,,,,,,,,,
BUNS-ROLLS,SARA LEE,SL CLASSIC DINNR RLS,,33,24.53,9.85,3,0,25,0,0,10,0,15,0,0,10,35,25,,,,,,,,,,,
BUNS-ROLLS,SARA LEE,SL CLASSIC DINNR RLS,SL HAWAIIAN RL12P15Z,24,23.08,9.38,2,0,15,0,0,5,0,15,0,0,5,20,20,,,,,,,,,,,
BUNS-ROLLS,SARA LEE,SL CLASSIC DINNR RLS,SL WHI DNRL 12P 17Z,9,28.57,11.11,1,0,10,0,0,5,0,0,0,0,5,15,5,,,,,,,,,,,
BUNS-ROLLS,SARA LEE,SL H&D ROLLS,,9,-50.00,17.14,2,4,4,0,6,2,4,2,3,5,2,16,16,,,,,,,,,,,
BUNS-ROLLS,SARA LEE,SL H&D ROLLS,SL H&D STK RL 6P15Z,9,-50.00,17.14,2,4,4,0,6,2,4,2,3,5,2,16,16,,,,,,,,,,,
BUNS-ROLLS,SARA LEE,SL OTHER BUNS & RLS,,13,-24.29,11.32,2,0,6,0,6,6,0,6,0,6,6,18,18,,,,,,,,,,,
BUNS-ROLLS,SARA LEE,SL OTHER BUNS & RLS,SL HAWAIN SDRL 8P18Z,13,-24.29,11.32,2,0,6,0,6,6,0,6,0,6,6,18,18,,,,,,,,,,,
BUNS-ROLLS,SARA LEE,SL SOFT & SMOOTH RLS,,0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
BUNS-ROLLS,SARA LEE,SL SOFT & SMOOTH RLS,SL HHWHE HOT 8P 12Z,0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
BUNS-ROLLS,SARA LEE,SL SOFT & SMOOTH RLS,"SL WGW 6""CONEY 8P13Z",0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
DRY,,,,41,47.75,2.44,1,0,0,0,0,56,0,0,0,0,56,56,56,,,,,,,,,,,
DRY,BIMBO BREAD,,,41,47.75,2.44,1,0,0,0,0,56,0,0,0,0,56,56,56,,,,,,,,,,,
DRY,BIMBO BREAD,BIMBO TOASTED BRD,,41,47.75,2.44,1,0,0,0,0,56,0,0,0,0,56,56,56,,,,,,,,,,,
DRY,BIMBO BREAD,BIMBO TOASTED BRD,BIM DBFIBTST BX,21,203.70,2.44,1,0,0,0,0,28,0,0,0,0,28,28,28,,,,,,,,,,,
DRY,BIMBO BREAD,BIMBO TOASTED BRD,PAN TOSTADO BX,21,-2.38,2.44,1,0,0,0,0,28,0,0,0,0,28,28,28,,,,,,,,,,,
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
MUFFINS,,,,154,4.60,16.61,26,4,47,2,74,27,38,23,27,53,27,154,168,,,,,,,,,,,
MUFFINS,ARNOLD-BRWNBRY-OROWT,,,36,2.13,8.33,3,2,10,0,10,8,8,4,8,13,8,30,41,,,,,,,,,,,
MUFFINS,ARNOLD-BRWNBRY-OROWT,ORO ENG MUFFINS,,36,2.13,8.33,3,2,10,0,10,8,8,4,8,13,8,30,41,,,,,,,,,,,
MUFFINS,ARNOLD-BRWNBRY-OROWT,ORO ENG MUFFINS,OR EM 100%WW 6P12.5Z,7,0.00,14.81,1,0,2,0,2,0,2,2,0,3,0,4,7,,,,,,,,,,,
MUFFINS,ARNOLD-BRWNBRY-OROWT,ORO ENG MUFFINS,OR EM EX CRISP6P12.5,8,-41.07,6.06,1,0,2,0,2,3,2,2,0,3,3,7,10,,,,,,,,,,,
MUFFINS,ARNOLD-BRWNBRY-OROWT,ORO ENG MUFFINS,ORO DBL FIB EM6,7,68.75,3.70,0,0,2,0,2,2,0,0,2,2,2,6,6,,,,,,,,,,,
MUFFINS,ARNOLD-BRWNBRY-OROWT,ORO ENG MUFFINS,RAISIN MUFF 6P,7,81.25,6.90,1,2,2,0,2,0,2,0,3,2,0,6,7,,,,,,,,,,,
MUFFINS,ARNOLD-BRWNBRY-OROWT,ORO ENG MUFFINS,SD ENG MUFF 6P12.48,7,7.69,10.71,1,0,2,0,2,3,2,0,3,3,3,7,11,,,,,,,,,,,
MUFFINS,THOMAS BRANDS,,,118,5.38,19.15,23,2,37,2,64,19,30,19,19,40,19,124,127,,,,,,,,,,,
MUFFINS,THOMAS BRANDS,FLAVORED MUFFINS,,19,22.95,1.33,0,2,8,2,14,2,5,4,2,5,2,28,18,,,,,,,,,,,
MUFFINS,THOMAS BRANDS,FLAVORED MUFFINS,EM APPLE PIE 6P 13Z,3,0.00,0.00,0,2,2,0,6,0,2,2,0,0,0,10,4,,,,,,,,,,,
MUFFINS,THOMAS BRANDS,FLAVORED MUFFINS,EM CINN RSN 6P 13Z,16,75.68,1.54,0,0,6,2,8,2,3,2,2,5,2,18,14,,,,,,,,,,,
MUFFINS,THOMAS BRANDS,FLAVORED MUFFINS,LTD ED EM CINVAN6P13,0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
MUFFINS,THOMAS BRANDS,HEARTY MUFFINS,,34,16.24,48.53,17,0,9,0,20,6,9,5,6,11,6,35,37,,,,,,,,,,,
MUFFINS,THOMAS BRANDS,HEARTY MUFFINS,EM DBL PROTN OAT6P13,8,100.00,54.55,5,0,2,0,6,3,2,0,2,0,3,11,7,,,,,,,,,,,
MUFFINS,THOMAS BRANDS,HEARTY MUFFINS,EM HIGHFIB PLN 6P12Z,9,100.00,27.03,3,0,2,0,4,0,2,0,2,2,0,6,6,,,,,,,,,,,
MUFFINS,THOMAS BRANDS,HEARTY MUFFINS,EM LT MLT GRN 6P12Z,10,-44.93,42.11,4,0,3,0,6,3,3,3,2,6,3,12,17,,,,,,,,,,,
MUFFINS,THOMAS BRANDS,HEARTY MUFFINS,EM TRIPLE HLTH 6P11Z,0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
MUFFINS,THOMAS BRANDS,HEARTY MUFFINS,EM WH WHEAT 6P 12Z,7,-26.32,78.57,6,0,2,0,4,0,2,2,0,3,0,6,7,,,,,,,,,,,
MUFFINS,THOMAS BRANDS,REG-WHITE MUFFINS,,65,-3.36,8.88,6,0,20,0,30,11,16,10,11,24,11,61,72,,,,,,,,,,,
MUFFINS,THOMAS BRANDS,REG-WHITE MUFFINS,EM REGULAR 6P/12Z,65,-3.36,8.88,6,0,20,0,30,11,16,10,11,24,11,61,72,,,,,,,,,,,
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
SAND THINS-FLAT ROLL,,,,64,-24.85,26.07,17,0,12,0,24,36,0,12,0,24,36,72,72,,,,,,,,,,,
SAND THINS-FLAT ROLL,AR-OR SANDWICH THINS,,,64,-24.85,26.07,17,0,12,0,24,36,0,12,0,24,36,72,72,,,,,,,,,,,
SAND THINS-FLAT ROLL,AR-OR SANDWICH THINS,ORIG SANDWICH THINS,,64,-24.85,26.07,17,0,12,0,24,36,0,12,0,24,36,72,72,,,,,,,,,,,
SAND THINS-FLAT ROLL,AR-OR SANDWICH THINS,ORIG SANDWICH THINS,OR HW SAND THIN 8P12,12,-50.51,95.92,12,0,0,0,12,12,0,0,0,12,12,24,24,,,,,,,,,,,
SAND THINS-FLAT ROLL,AR-OR SANDWICH THINS,ORIG SANDWICH THINS,OR SAND THIN MG 8P12,22,-11.88,7.87,2,0,0,0,0,12,0,0,0,0,12,12,12,,,,,,,,,,,
SAND THINS-FLAT ROLL,AR-OR SANDWICH THINS,ORIG SANDWICH THINS,OR SAND THIN WW 8P12,30,-16.20,10.92,3,0,12,0,12,12,0,12,0,12,12,36,36,,,,,,,,,,,
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
SANDWICH ALTERNATIVE,,,,147,4.27,5.46,8,13,47,3,60,103,13,11,3,37,103,226,167,,,,,,,,,,,
SANDWICH ALTERNATIVE,AR-OR SANDWICH THINS,,,7,-46.00,18.52,1,2,0,3,2,0,2,0,3,2,0,7,7,,,,,,,,,,,
SANDWICH ALTERNATIVE,AR-OR SANDWICH THINS,POCKET THINS,,7,-46.00,18.52,1,2,0,3,2,0,2,0,3,2,0,7,7,,,,,,,,,,,
SANDWICH ALTERNATIVE,AR-OR SANDWICH THINS,POCKET THINS,OR 100WW PKT THIN 8P,0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
SANDWICH ALTERNATIVE,AR-OR SANDWICH THINS,POCKET THINS,OR HLTHY MG PKT 8P11,7,-41.30,18.52,1,2,0,3,2,0,2,0,3,2,0,7,7,,,,,,,,,,,
SANDWICH ALTERNATIVE,BOBOLI BRANDS,,,10,40.74,15.79,2,0,0,0,0,24,0,0,0,0,24,24,24,,,,,,,,,,,
SANDWICH ALTERNATIVE,BOBOLI BRANDS,BOBOLI,,10,40.74,15.79,2,0,0,0,0,24,0,0,0,0,24,24,24,,,,,,,,,,,
SANDWICH ALTERNATIVE,BOBOLI BRANDS,BOBOLI,BOB 12 OG TNCST 10Z,2,60.00,75.00,2,0,0,0,0,14,0,0,0,0,14,14,14,,,,,,,,,,,
SANDWICH ALTERNATIVE,BOBOLI BRANDS,BOBOLI,"BOB 12"" OG CST 14Z",8,233.33,0.00,0,0,0,0,0,10,0,0,0,0,10,10,10,,,,,,,,,,,
SANDWICH ALTERNATIVE,BOBOLI BRANDS,BOBOLI,"BOB 8"" OG CST 2P10Z",0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
SANDWICH ALTERNATIVE,BOBOLI BRANDS,BOBOLI,"BOB TN 12"" WWCST 10Z",0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
SANDWICH ALTERNATIVE,TIA ROSA,,,130,7.42,4.03,5,11,47,0,58,79,11,11,0,35,79,195,136,,,,,,,,,,,
SANDWICH ALTERNATIVE,TIA ROSA,TR CORN,,22,95.56,9.09,2,0,12,0,12,24,0,0,0,0,24,48,24,,,,,,,,,,,
SANDWICH ALTERNATIVE,TIA ROSA,TR CORN,TR WHITE CORN TORT30,7,64.71,28.57,2,0,0,0,0,12,0,0,0,0,12,12,12,,,,,,,,,,,
SANDWICH ALTERNATIVE,TIA ROSA,TR CORN,TR YELLOW CORN TORT,15,114.29,0.00,0,0,12,0,12,12,0,0,0,0,12,36,12,,,,,,,,,,,
SANDWICH ALTERNATIVE,TIA ROSA,TR FLOUR,,108,-1.59,3.00,3,11,35,0,46,55,11,11,0,35,55,147,112,,,,,,,,,,,
SANDWICH ALTERNATIVE,TIA ROSA,TR FLOUR,"TR 6.5""HS TORT 20P28",50,27.74,0.00,0,11,11,0,22,11,11,11,0,11,11,55,44,,,,,,,,,,,
SANDWICH ALTERNATIVE,TIA ROSA,TR FLOUR,TR BURRITO TORT 8P20,9,-17.78,8.11,1,0,0,0,0,10,0,0,0,0,10,10,10,,,,,,,,,,,
SANDWICH ALTERNATIVE,TIA ROSA,TR FLOUR,TR HOMSTY TORT 10P14,42,23.53,0.00,0,0,24,0,24,24,0,0,0,24,24,72,48,,,,,,,,,,,
SANDWICH ALTERNATIVE,TIA ROSA,TR FLOUR,TR SFT TACO TORT10P,8,-48.28,33.33,3,0,0,0,0,10,0,0,0,0,10,10,10,,,,,,,,,,,
SANDWICH ALTERNATIVE,TIA ROSA,TR FLOUR,TR WICWW TORT 10P16Z,0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
SLICED BREAD,,,,"5,328",-7.01,3.94,210,1180,800,728,1770,917,1071,694,674,1641,917,5395,4997,,,,,,,,,,,
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,,,213,1.43,24.21,52,38,30,10,65,143,28,20,10,63,143,286,264,,,,,,,,,,,
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,ABO COUNTRY,,12,-54.72,45.83,6,0,0,0,0,30,0,0,0,0,30,30,30,,,,,,,,,,,
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,ABO COUNTRY,OR CNTRY MLTIGRN 24Z,0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,ABO COUNTRY,OR CNTRY OATMEAL 24Z,0,-91.67,900.00,2,0,0,0,0,10,0,0,0,0,10,10,10,,,,,,,,,,,
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,ABO COUNTRY,OR CNTRY WHEAT WP24Z,0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,ABO COUNTRY,OR CNTRY WHITE 24Z,2,-33.33,150.00,3,0,0,0,0,10,0,0,0,0,10,10,10,,,,,,,,,,,
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,ABO COUNTRY,OR CNTY POTATO 24Z,10,2.63,2.56,0,0,0,0,0,10,0,0,0,0,10,10,10,,,,,,,,,,,
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,ABO WHOLE GRAINS,,143,13.04,8.39,12,30,30,10,52,42,20,20,10,50,42,164,142,,,,,,,,,,,
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,ABO WHOLE GRAINS,OR 12 GRAIN WP 24Z,31,9.65,4.00,1,10,10,0,10,10,0,10,0,10,10,40,30,,,,,,,,,,,
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,ABO WHOLE GRAINS,OR ANCTGRN&RSEED 24Z,3,100.00,0.00,0,0,0,0,2,2,0,0,0,0,2,4,2,,,,,,,,,,,
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,ABO WHOLE GRAINS,OR HEALTHNUT BRD 24Z,19,-26.47,20.00,4,0,0,0,10,10,0,0,0,10,10,20,20,,,,,,,,,,,
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,ABO WHOLE GRAINS,OR OATNUT BREAD 24Z,67,18.22,1.50,1,20,10,10,20,10,20,10,10,20,10,70,70,,,,,,,,,,,
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,ABO WHOLE GRAINS,OR WG 100%WW WP 24Z,24,47.69,25.00,6,0,10,0,10,10,0,0,0,10,10,30,20,,,,,,,,,,,
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,AR ITALIAN,,7,-12.12,20.69,2,0,0,0,0,7,0,0,0,0,7,7,7,,,,,,,,,,,
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,AR ITALIAN,OROWEAT ITALIAN 20OZ,7,-12.12,20.69,2,0,0,0,0,7,0,0,0,0,7,7,7,,,,,,,,,,,
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,AR-OR HEALTHFUL BRDS,,22,61.11,44.83,10,8,0,0,13,0,8,0,0,13,0,21,21,,,,,,,,,,,
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,AR-OR HEALTHFUL BRDS,OR HLF NUTS&SEED 20Z,6,100.00,90.91,5,2,0,0,4,0,2,0,0,4,0,6,6,,,,,,,,,,,
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,AR-OR HEALTHFUL BRDS,OR HLF STLCUT OAT20Z,7,100.00,50.00,4,3,0,0,4,0,3,0,0,4,0,7,7,,,,,,,,,,,
