Product Level 4,Brand Level 4,Brand Level 2,Product Name,average,growth,returnPercent,returnUnits,tAct,thAct,fAct,sAct,mAct,tSug,thSug,fSug,sSug,mSug,totalAct,totalSug,,,,,,,,,,,
SLICED BREAD,SARA LEE,SL CLASSIC VRTY BRD,,759,31.96,1.02,8,160,96,104,232,104,160,96,104,232,104,696,696,,,,,,,,,,,
SLICED BREAD,SARA LEE,SL CLASSIC VRTY BRD,SL CL 100%WW RT 16Z,0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
SLICED BREAD,SARA LEE,SL CLASSIC VRTY BRD,SL CL 100%WW RT 20Z,56,28.57,3.11,2,16,8,8,16,8,16,8,8,16,8,56,56,,,,,,,,,,,
SLICED BREAD,SARA LEE,SL CLASSIC VRTY BRD,SL CL HNYWHEAT RT20Z,703,34.84,0.85,6,144,88,96,216,96,144,88,96,216,96,640,640,,,,,,,,,,,
SLICED BREAD,SARA LEE,SL CLASSIC VRTY BRD,SL CLS OATS NHNY 20Z,0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
SLICED BREAD,SARA LEE,SL DELIGHTFUL BRD,,93,25.59,25.74,24,16,16,0,40,24,16,16,0,40,24,96,96,,,,,,,,,,,
SLICED BREAD,SARA LEE,SL DELIGHTFUL BRD,SL 45CAL DEL WW/HY20,38,48.04,11.26,4,8,8,0,16,8,8,8,0,16,8,40,40,,,,,,,,,,,
SLICED BREAD,SARA LEE,SL DELIGHTFUL BRD,SL DEL HLTY MG 20Z,36,13.28,26.21,10,8,8,0,16,8,8,8,0,16,8,40,40,,,,,,,,,,,
SLICED BREAD,SARA LEE,SL DELIGHTFUL BRD,SL DEL WHEAT 20Z,19,14.93,53.25,10,0,0,0,8,8,0,0,0,8,8,16,16,,,,,,,,,,,
SLICED BREAD,SARA LEE,SL MAINSTREAM WHITE,,18,294.44,9.86,2,0,8,0,8,2,0,2,0,2,2,18,6,,,,,,,,,,,
SLICED BREAD,SARA LEE,SL MAINSTREAM WHITE,SL GIANT WHITE RT24Z,0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
SLICED BREAD,SARA LEE,SL MAINSTREAM WHITE,SL WHITE BUTTER 20Z,18,100.00,9.86,2,0,8,0,8,2,0,2,0,2,2,18,6,,,,,,,,,,,
