Product Level 4,Brand Level 4,Brand Level 2,Product Name,average,growth,returnPercent,returnUnits,tAct,thAct,fAct,sAct,mAct,tSug,thSug,fSug,sSug,mSug,totalAct,totalSug
BAGELS,,,,227,11.18,11.50,26,0,72,0,103,38,45,34,32,64,38,213,213
BAGELS,SARA LEE,,,90,-15.79,7.54,7,0,28,0,36,10,16,11,12,25,10,74,74
BAGELS,SARA LEE,SL FULL SIZ BAGELS,,90,-15.79,7.54,7,0,28,0,36,10,16,11,12,25,10,74,74
BAGELS,SARA LEE,SL FULL SIZ BAGELS,SL BLUEBRY BGL 6P20Z,29,-0.58,9.59,3,0,8,0,12,3,5,3,4,7,3,23,22
BAGELS,SARA LEE,SL FULL SIZ BAGELS,SL CINNRSN BGL 6P20Z,35,-6.81,1.94,1,0,12,0,12,4,6,5,4,10,4,28,29
BAGELS,SARA LEE,SL FULL SIZ BAGELS,SL EVRYTHG BGL 6P20Z,0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
BAGELS,SARA LEE,SL FULL SIZ BAGELS,SL HONWHE BGL 6P20Z,0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
BAGELS,SARA LEE,SL FULL SIZ BAGELS,SL PLAIN BGL 6P 20Z,26,-23.03,12.81,3,0,8,0,12,3,5,3,4,8,3,23,23
BAGELS,THOMAS BRANDS,,,138,40.54,14.07,19,0,44,0,67,28,29,23,20,39,28,139,139
BAGELS,THOMAS BRANDS,BAGELS 20OZ,,112,59.33,13.48,15,0,32,0,54,19,26,15,16,34,19,105,110
BAGELS,THOMAS BRANDS,BAGELS 20OZ,BAGEL BANANA 6P19Z,0,-96.43,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
BAGELS,THOMAS BRANDS,BAGELS 20OZ,BGL APPLE PIE 6P19Z,2,100.00,5.74,0,0,2,0,0,2,0,2,0,0,2,4,4
BAGELS,THOMAS BRANDS,BAGELS 20OZ,BGL CRANBERRY 6P19Z,2,100.00,18.56,0,0,0,0,0,0,0,0,0,0,0,0,0
BAGELS,THOMAS BRANDS,BAGELS 20OZ,BGL PUMPKIN SPIC6P19,2,740.00,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0
BAGELS,THOMAS BRANDS,BAGELS 20OZ,BLUEBRY BGL 6P20Z,16,94.00,30.41,5,0,6,0,12,2,4,2,3,5,2,20,16
BAGELS,THOMAS BRANDS,BAGELS 20OZ,CIN RSN BGL 6P/20Z,25,109.52,11.36,3,0,6,0,8,3,6,3,4,8,3,17,24
BAGELS,THOMAS BRANDS,BAGELS 20OZ,CIN SWL BGL 6P 20Z,22,54.99,10.43,2,0,6,0,12,3,6,3,3,8,3,21,23
BAGELS,THOMAS BRANDS,BAGELS 20OZ,EVRTHNG BGL 6P/20Z,11,30.63,11.90,1,0,3,0,6,3,2,2,2,3,3,12,12
BAGELS,THOMAS BRANDS,BAGELS 20OZ,LTD ED BGL MFTST6P19,0,-95.95,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
BAGELS,THOMAS BRANDS,BAGELS 20OZ,PLAIN BGL 6P20Z,28,21.75,10.33,3,0,6,0,12,3,6,3,4,8,3,21,24
BAGELS,THOMAS BRANDS,BAGELS 20OZ,WHL WHT BGL 6P20Z,5,337.50,11.79,1,0,3,0,4,3,2,0,0,2,3,10,7
BAGELS,THOMAS BRANDS,MINI BAGELS,,14,6.86,10.66,2,0,6,0,7,6,0,6,0,3,6,19,15
BAGELS,THOMAS BRANDS,MINI BAGELS,BSC MINI BGL 10P 15Z,3,-22.84,16.76,1,0,2,0,2,2,0,2,0,0,2,6,4
BAGELS,THOMAS BRANDS,MINI BAGELS,PLN MINI BGL 10P 15Z,8,-2.86,3.92,0,0,2,0,3,3,0,2,0,3,3,8,8
BAGELS,THOMAS BRANDS,MINI BAGELS,WWHE MINI BGL 10P15Z,3,339.39,22.07,1,0,2,0,2,1,0,2,0,0,1,5,3
BAGELS,THOMAS BRANDS,THOMAS BAGEL THINS,,12,-20.08,23.96,3,0,6,0,6,3,3,2,4,2,3,15,14
BAGELS,THOMAS BRANDS,THOMAS BAGEL THINS,BAGEL THIN EVRY 8P13,4,-28.08,22.46,1,0,2,0,2,0,1,2,0,0,0,4,3
BAGELS,THOMAS BRANDS,THOMAS BAGEL THINS,BAGEL THIN PLN 8P13Z,5,-41.10,24.63,1,0,2,0,2,3,2,0,2,2,3,7,9
BAGELS,THOMAS BRANDS,THOMAS BAGEL THINS,BAGEL THIN100%WW8P13,3,294.59,24.66,1,0,2,0,2,0,0,0,2,0,0,4,2
,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
BUNS-ROLLS,,,,"2,769",-8.12,3.34,92,591,425,347,1030,447,583,381,334,846,447,2840,2591
BUNS-ROLLS,ARNOLD-BRWNBRY-OROWT,,,27,-15.95,18.27,5,0,2,0,19,29,7,2,0,6,29,50,44
BUNS-ROLLS,ARNOLD-BRWNBRY-OROWT,AR SELECT BUNS,,6,100.00,55.45,3,0,2,0,7,17,7,2,0,0,17,26,26
BUNS-ROLLS,ARNOLD-BRWNBRY-OROWT,AR SELECT BUNS,OR POTATO HD 8P15Z,2,100.00,24.14,0,0,0,0,0,9,0,0,0,0,9,9,9
BUNS-ROLLS,ARNOLD-BRWNBRY-OROWT,AR SELECT BUNS,OR POTATO SAND 8P15Z,1,100.00,74.55,1,0,0,0,0,8,0,0,0,0,8,8,8
BUNS-ROLLS,ARNOLD-BRWNBRY-OROWT,AR SELECT BUNS,OR SL HOT DOG 8P/14Z,2,100.00,91.25,1,0,0,0,0,0,0,0,0,0,0,0,0
BUNS-ROLLS,ARNOLD-BRWNBRY-OROWT,AR SELECT BUNS,OR SL SAND SES 8P15Z,1,100.00,71.11,1,0,0,0,6,0,6,0,0,0,0,6,6
BUNS-ROLLS,ARNOLD-BRWNBRY-OROWT,AR SELECT BUNS,OR SL SAND WHEAT8P16,1,100.00,13.33,0,0,2,0,1,0,1,2,0,0,0,3,3
BUNS-ROLLS,ARNOLD-BRWNBRY-OROWT,AR-BB-ORO SPECLTYBUN,,7,-58.08,8.00,1,0,0,0,6,6,0,0,0,0,6,12,6
