company,Item,price ,type
BBU,Thomas White EM,,
BBU,Thomas Variety EM,,
BBU,Thomas Plain Bagel,,
BBU,Thomas Variety Bagel,,
BBU,Sunmaid Raisin Bread,,
Competitor,Pepperidge Farm Swirl Bread,,
Competitor,Cobblestone EM,,
Competitor,Cobblestone Bagel,,
