Product Level 4,Brand Level 4,Brand Level 2,Product Name,average,growth,returnPercent,returnUnits,tAct,thAct,fAct,sAct,mAct,tSug,thSug,fSug,sSug,mSug,totalAct,totalSug
BUNS-ROLLS,BALL PARK,BALL PARK BUNS,"BP 3.75""SAND RL12P21",6,-50.00,20.00,1,5,0,0,0,0,5,0,0,0,0,5,5
BUNS-ROLLS,BALL PARK,BALL PARK BUNS,"BP 6""HOTDOG 12P 20Z",10,-48.20,8.70,1,5,5,0,0,0,5,5,0,0,0,10,10
BUNS-ROLLS,BALL PARK,BALL PARK BUNS,"BP 6""TAIL BRAT 6P16Z",4,100.00,45.83,2,0,0,0,6,0,0,0,0,0,0,6,0
BUNS-ROLLS,BALL PARK,BALL PARK BUNS,BP WHITE HAM RL8P14Z,9,-3.42,41.59,4,8,0,8,8,0,8,0,0,0,0,24,8
BUNS-ROLLS,BALL PARK,BALL PARK BUNS,BP WHITE HD 8P 13Z,44,-6.53,1.51,1,18,9,0,18,9,9,9,0,18,9,54,45
BUNS-ROLLS,MRS BAIRDS BREAD,,,346,-23.06,10.22,35,71,50,41,112,50,71,50,33,104,50,324,308
BUNS-ROLLS,MRS BAIRDS BREAD,MB HAM AND HOT BUNS,,346,-21.79,10.22,35,71,50,41,112,50,71,50,33,104,50,324,308
BUNS-ROLLS,MRS BAIRDS BREAD,MB HAM AND HOT BUNS,"MB 4""M LEAGUE RL8P14",0,100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
BUNS-ROLLS,MRS BAIRDS BREAD,MB HAM AND HOT BUNS,"MB 4.5"" HAM 8P18.25Z",102,22.14,3.94,4,18,12,12,30,12,18,12,12,30,12,84,84
BUNS-ROLLS,MRS BAIRDS BREAD,MB HAM AND HOT BUNS,"MB 4.5""SS BUN8P18.25",104,11.20,2.80,3,18,12,12,30,12,18,12,12,30,12,84,84
BUNS-ROLLS,MRS BAIRDS BREAD,MB HAM AND HOT BUNS,MB 4IN HAM 8P12Z,34,-41.16,16.26,6,8,8,8,16,8,8,8,0,8,8,48,32
BUNS-ROLLS,MRS BAIRDS BREAD,MB HAM AND HOT BUNS,MB CONEYS 8P11.75Z,107,-48.84,21.55,23,27,18,9,36,18,27,18,9,36,18,108,108
BUNS-ROLLS,MRS BAIRDS BREAD,MB ROLLS,,0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
BUNS-ROLLS,MRS BAIRDS BREAD,MB ROLLS,MB CLASIC DNRL 12P17,0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
BUNS-ROLLS,PRIVATE LABEL BRANDS,,,"2,699",-4.05,1.84,50,480,324,298,855,341,474,292,298,707,341,2298,2112
